,ID,vendor+AF8-id,pickup+AF8-loc,drop+AF8-loc,driver+AF8-tip,mta+AF8-tax,distance,pickup+AF8-time,drop+AF8-time,num+AF8-passengers,toll+AF8-amount,payment+AF8-method,rate+AF8-code,stored+AF8-flag,extra+AF8-charges,improvement+AF8-charge,total+AF8-amount
0,0,1,170.0,233.0,1.83,0.5,0.7,4/4/2017 17:59,4/4/2017 18:05,1.0,0.0,1.0,1.0,N,1.0,0.3,9.13
1,1,2,151.0,243.0,3.56,0.5,4.64,4/3/2017 19:03,4/3/2017 19:20,1.0,0.0,1.0,1.0,N,1.0,0.3,21.36
2,2,2,68.0,90.0,1.5,0.5,1.29,4/3/2017 15:06,4/3/2017 15:12,2.0,0.0,1.0,1.0,N,0.0,0.3,8.8
3,3,2,142.0,234.0,1.5,0.5,2.74,4/4/2017 8:10,4/4/2017 8:27,1.0,0.0,1.0,1.0,N,0.0,0.3,14.8
4,4,2,238.0,238.0,0.0,0.5,0.45,4/5/2017 14:02,4/5/2017 14:05,6.0,0.0,2.0,1.0,N,0.0,0.3,4.8
5,5,1,230.0,48.0,1.05,0.5,0.4,4/3/2017 9:10,4/3/2017 9:12,1.0,0.0,1.0,1.0,N,0.0,0.3,5.35
6,6,2,236.0,140.0,2.46,0.5,1.72,4/3/2017 12:04,4/3/2017 12:20,3.0,0.0,1.0,1.0,N,0.0,0.3,14.76
7,7,1,236.0,13.0,5.95,0.5,8.8,4/4/2017 15:19,4/4/2017 15:48,1.0,0.0,1.0,1.0,N,0.0,0.3,35.75
8,8,1,229.0,141.0,0.0,0.5,1.2,4/5/2017 21:16,4/5/2017 21:24,2.0,0.0,2.0,1.0,N,0.5,0.3,8.8
9,9,1,132.0,164.0,0.0,0.5,17.0,4/6/2017 19:38,4/6/2017 20:17,2.0,5.76,2.0,2.0,N,4.5,0.3,63.06
10,10,2,114.0,170.0,2.58,0.5,1.54,4/6/2017 18:05,4/6/2017 18:15,1.0,0.0,1.0,1.0,N,1.0,0.3,12.88
11,11,1,264.0,264.0,1.25,0.5,0.7,4/6/2017 20:13,4/6/2017 20:18,1.0,0.0,1.0,1.0,N,0.5,0.3,7.55
12,12,2,238.0,151.0,1.3,0.5,0.59,4/3/2017 16:04,4/3/2017 16:10,1.0,0.0,1.0,1.0,N,1.0,0.3,8.6
13,13,1,170.0,246.0,2.65,0.5,1.9,4/4/2017 8:13,4/4/2017 8:30,1.0,0.0,1.0,1.0,N,0.0,0.3,15.95
14,14,1,166.0,238.0,1.55,0.5,1.3,4/3/2017 17:14,4/3/2017 17:19,1.0,0.0,1.0,1.0,N,1.0,0.3,9.35
15,15,2,263.0,138.0,0.0,0.5,6.95,4/7/2017 9:32,4/7/2017 9:51,1.0,5.76,1.0,1.0,N,0.0,0.3,29.06
16,16,2,137.0,79.0,0.0,0.5,1.17,4/6/2017 21:42,4/6/2017 21:48,1.0,0.0,2.0,1.0,N,0.5,0.3,7.8
17,17,1,90.0,230.0,0.0,0.5,1.6,4/5/2017 8:26,4/5/2017 8:39,1.0,0.0,2.0,1.0,N,0.0,0.3,10.3
